"","batter","season","Total_PAs"
"1","00fb2414b8f5bcdec5e0398176d9c76747645772","2022",75
"2","00fb2414b8f5bcdec5e0398176d9c76747645772","2023",75
"3","01062805175a65bbfb5e2024853137219296e26c","2021",85
"4","01062805175a65bbfb5e2024853137219296e26c","2022",80
"5","01062805175a65bbfb5e2024853137219296e26c","2023",59
"6","0110ddbbd4e67bbd0a355dd5561021b075920eb3","2021",3
"7","020e1c97d88916739bc1c2276a6ef8e91447443f","2021",69
"8","020e1c97d88916739bc1c2276a6ef8e91447443f","2022",70
"9","020e1c97d88916739bc1c2276a6ef8e91447443f","2023",66
"10","02704f6c055abbf858edfd3d220970ef99cb2212","2021",1
"11","02b79004f4e2b75b03f7b57c8a11c40c5f004680","2021",1
"12","02db096acbd50af9cdc36f25a64b16f7e62d8589","2021",1
"13","037158ce34a79cee4dd9ddafd4c7b8ca90327429","2021",80
"14","037158ce34a79cee4dd9ddafd4c7b8ca90327429","2022",86
"15","037158ce34a79cee4dd9ddafd4c7b8ca90327429","2023",88
"16","04994290f0133acc8b036b3d3bc14ceda5b0d012","2021",15
"17","04cc7babf2db7c7531580c6f4d2e313c5c9bf560","2021",1
"18","0511a4e51e2e6e7f78a0acfb2ec603a9ab4acbe0","2021",4
"19","05489443ace8032d1a897c125c504d52362c507f","2021",44
"20","061eb45e0292790d19a0638e0bd4edb4dad2d319","2021",85
"21","061eb45e0292790d19a0638e0bd4edb4dad2d319","2022",80
"22","061eb45e0292790d19a0638e0bd4edb4dad2d319","2023",84
"23","06662d5b2e1290f7ee60a65ca4d0f90c3ddd9581","2021",83
"24","06662d5b2e1290f7ee60a65ca4d0f90c3ddd9581","2022",73
"25","06662d5b2e1290f7ee60a65ca4d0f90c3ddd9581","2023",64
"26","0787a0194110f04cfac70c22b35b79e710e93e0d","2021",7
"27","07f0a4be81a4415806197d0a1b0339917fa0ae01","2021",74
"28","07f0a4be81a4415806197d0a1b0339917fa0ae01","2022",73
"29","07f0a4be81a4415806197d0a1b0339917fa0ae01","2023",62
"30","083d603cf3249f2f57c04b16db50218beba3c152","2021",72
"31","083d603cf3249f2f57c04b16db50218beba3c152","2022",54
"32","083d603cf3249f2f57c04b16db50218beba3c152","2023",11
"33","0867cdc89466ca1651ec177e322cb5b045126a49","2021",2
"34","08a7ee474cc1fbfeb48e48b23b82fb9efd3c0f02","2021",9
"35","0970a31949e9d9c0db5d90ee6eaee120529ad264","2021",2
"36","0b45bde37e380498cfc1bc4a6153567ec74d63b0","2021",28
"37","0b6c7a9ff58dc18e0e462ff7ac31aab5947124e5","2021",39
"38","0b6c7a9ff58dc18e0e462ff7ac31aab5947124e5","2023",2
"39","0b7ac2052237fe7518844407df4c965305fae3a9","2021",3
"40","0b7ac2052237fe7518844407df4c965305fae3a9","2022",1
"41","0b7e91b73e8e3ce2c1aa8d74416e37aa24d45b60","2021",1
"42","0ba1c8581d0fa99abbd75bd6b6cc8cfca3bdd5ec","2021",1
"43","0c049bc522425eab3482cc503f0c1f416be05b4f","2021",1
"44","0ca329fc49d750ff089b64c0dcb78465bba6ca5e","2021",74
"45","0ca329fc49d750ff089b64c0dcb78465bba6ca5e","2022",68
"46","0ca329fc49d750ff089b64c0dcb78465bba6ca5e","2023",70
"47","0d06d461615dc698f57ccb8a1f6b958b675c5c5f","2021",2
"48","0d1f9704bf611041f42aa3454af0cc19cd8d1360","2021",47
"49","0e83bafabb77ec13c356db364be8cea1d55afcfe","2021",1
"50","0e86bc7879803f7bcc6f16386e6f64c578a22199","2021",73
"51","0e86bc7879803f7bcc6f16386e6f64c578a22199","2022",70
"52","0e86bc7879803f7bcc6f16386e6f64c578a22199","2023",50
"53","0f061b9439845159c394a71e55d635b10ca25656","2021",3
"54","102be786b501ac586b0919515e7707ff61c84bf4","2021",10
"55","10fedf67aa649b50c9974dd8fdfef7a128e5adc3","2021",2
"56","11416d11059c8d9746e5810a0b83471293d2bfef","2021",23
"57","1197ad8826628a3b6a30dce1a669fec173342b7b","2021",39
"58","1197ad8826628a3b6a30dce1a669fec173342b7b","2022",48
"59","11d5f4e38d7491e880c99a6717db9f0fb3d03495","2022",48
"60","12500b0485dd2c99ec2973700512ec1b1751e2fe","2021",1
"61","13a359b8104dd860f6ef78ad52a2bf0a1fedf75c","2023",61
"62","13db75ec2a2ab2c1204e891c1dd8a91095dec4ac","2021",1
"63","13efcb430aedb603f38fb8e0b8f0788369d88a0e","2021",1
"64","13f1ea44ff2b7094942812a905745c719e209b0b","2021",81
"65","13f1ea44ff2b7094942812a905745c719e209b0b","2022",73
"66","13f1ea44ff2b7094942812a905745c719e209b0b","2023",65
"67","14141a52599650ea070ed88943350830e7848cdf","2021",1
"68","148f176b02dce29b83edb4320503dc4d23955f9c","2021",29
"69","14af6a8eb666d7c9681caa8ed62c48b91baf7418","2021",75
"70","14d989d8d61ab52344d12d6c7c25673cb91b8e75","2021",6
"71","151e3a419b9084ed3fb6d18a9d95bea2897dd4d6","2021",5
"72","151f1a0a4d4509711c02ef31320fa25afb343d0f","2021",79
"73","151f1a0a4d4509711c02ef31320fa25afb343d0f","2022",70
"74","155168f6c29c329f20d476d9f6181bf8ee1e335b","2021",1
"75","1555357c4809b66ac35fa0096f378680a822b65e","2021",72
"76","1555357c4809b66ac35fa0096f378680a822b65e","2022",67
"77","1555357c4809b66ac35fa0096f378680a822b65e","2023",63
"78","1563b7e821ce94e55b751e2656d96bb2de8d6795","2021",1
"79","15cf631818905e2aba93aabd57046f07a210f484","2021",2
"80","165fd9b7358e92833b4563e3588f3aa3076f823c","2021",1
"81","179b65b12c84f3cbd352681ede3f3bb890b3645b","2021",4
"82","17ae4c3c46b4a4cccd1e887924a21796cacbdf79","2021",4
"83","17cbce1de7a9d4e31952e86ba69ced3fa5f1c28c","2021",75
"84","17cbce1de7a9d4e31952e86ba69ced3fa5f1c28c","2022",71
"85","17cbce1de7a9d4e31952e86ba69ced3fa5f1c28c","2023",50
"86","18396fcf5f98aac97ec6127f7924868d3ef7bd9e","2021",86
"87","18396fcf5f98aac97ec6127f7924868d3ef7bd9e","2022",79
"88","18396fcf5f98aac97ec6127f7924868d3ef7bd9e","2023",82
"89","1846d3ee1ac661616b677348a8a7a7aa7639b5e8","2021",83
"90","1846d3ee1ac661616b677348a8a7a7aa7639b5e8","2022",80
"91","1846d3ee1ac661616b677348a8a7a7aa7639b5e8","2023",86
"92","19002d0d7703ce99a390e39c57d62401ef57cec6","2021",77
"93","19002d0d7703ce99a390e39c57d62401ef57cec6","2022",52
"94","196115bd13924ea956ac982f6673bbc0ec717546","2021",1
"95","19a16a0f9bad918752029086cbc39e8d625d9514","2021",3
"96","19c4182f72e996e7f55493ca7cca258f713f50b9","2021",2
"97","1a284227f3ec20e43d3f2cb0d535b4260b8d666e","2021",11
"98","1aa97033b20b51d4e32c2c8fcdbad5007a17f112","2022",50
"99","1aa97033b20b51d4e32c2c8fcdbad5007a17f112","2023",53
"100","1aec22a2dc737a6a12dce27f5d88561807a87e37","2021",75
"101","1aec22a2dc737a6a12dce27f5d88561807a87e37","2022",39
"102","1b6e325206b56276bc690f3f7397aa8e4cfa7507","2022",1
"103","1b8c25d4748b83dced144e1953464d23defeb0fc","2021",2
"104","1cc43f2912ca249fb9a1cdc475ca052ff9e0868c","2021",1
"105","1ccfa4a1ec1b4a6fca216a1e270f6183505fe38c","2021",19
"106","1ccfa4a1ec1b4a6fca216a1e270f6183505fe38c","2022",69
"107","1ccfa4a1ec1b4a6fca216a1e270f6183505fe38c","2023",2
"108","1ce31d2c34c99066c4e1f9f1b1628adc562487fe","2021",58
"109","1ce31d2c34c99066c4e1f9f1b1628adc562487fe","2022",72
"110","1ce31d2c34c99066c4e1f9f1b1628adc562487fe","2023",36
"111","1ceead9f26f4ecdc74ef8e8e5adce55797d2d824","2021",42
"112","1ceead9f26f4ecdc74ef8e8e5adce55797d2d824","2022",62
"113","1ceead9f26f4ecdc74ef8e8e5adce55797d2d824","2023",73
"114","1d392fe0b1ce6c5acf9617caffaf58cbd4848115","2021",11
"115","1d740c776101050cefeca93cd8dda4e6b9e7cbc2","2021",1
"116","1d7beaf707e455f76ede0b81f60d4ec6a8776030","2021",6
"117","1df963b3d540d35badcbf3958f021f4c840da4c5","2021",24
"118","1eb669cced8461ecdf53da0ff3eb4bcb04ae1a3f","2021",81
"119","1eb669cced8461ecdf53da0ff3eb4bcb04ae1a3f","2022",66
"120","1eb669cced8461ecdf53da0ff3eb4bcb04ae1a3f","2023",69
"121","1fa87945c3ee6516a00ae1d7003df4789de36661","2021",28
"122","1fb28f21cef40755e2a212961ff20f84a625c889","2021",11
"123","2015ffd22e8e0512d9b33c8d7a8bfb7b0e510432","2021",1
"124","20880521c2c15f79ab9728bd4e144add7bbedfd4","2021",34
"125","21748318a6fcdeed91ff8816b7a20df71a2d30e9","2021",62
"126","227278769ed44d180d373e42bce38bc84d374030","2021",2
"127","22e048efcadabdbb2f9150cd00d9bb7d08c4eab9","2021",21
"128","231d573a7f3607f76f16eb294509c7cd9dfb52c3","2021",3
"129","2460f7c6d698b7e9b6a16cb19e108f44f2cd427b","2021",62
"130","2460f7c6d698b7e9b6a16cb19e108f44f2cd427b","2022",34
"131","248107deaa8a879b2d8c74da6442181c3612f51f","2021",10
"132","24c75fe780af78a4acf2ab07e13e571b30101251","2021",2
"133","24fa12505cdc29d6c15f5e6c08e00f1c42e4373f","2021",81
"134","24fa12505cdc29d6c15f5e6c08e00f1c42e4373f","2022",83
"135","24fa12505cdc29d6c15f5e6c08e00f1c42e4373f","2023",78
"136","2520b6339c384f8f3fd26d7e9d19a7fda038b704","2021",11
"137","256bfaff4fc58bd3af86140021a439f2b8f030a5","2021",1
"138","25a0a4ca22cbf1a928e8d251085e8c85b9a76da8","2021",2
"139","260a8ceb479a09517387126e80d28417812dd933","2021",81
"140","260a8ceb479a09517387126e80d28417812dd933","2022",81
"141","2622dac5f67183f0c4a5b57e73549123f201cd74","2021",81
"142","2622dac5f67183f0c4a5b57e73549123f201cd74","2022",12
"143","2622dac5f67183f0c4a5b57e73549123f201cd74","2023",70
"144","263f19273c6c4c12eceadb8824228fe1eac5e8a4","2021",5
"145","26ac979bacd0020877044a7be8138b0422be43e8","2021",1
"146","26b016cf8e8536053cd109aa8e1502db6d46478f","2021",58
"147","26b016cf8e8536053cd109aa8e1502db6d46478f","2022",61
"148","26b016cf8e8536053cd109aa8e1502db6d46478f","2023",60
"149","26ccf96ef1de6d8676bf3267651ecfeae0fb9493","2021",82
"150","26ccf96ef1de6d8676bf3267651ecfeae0fb9493","2022",80
"151","26ccf96ef1de6d8676bf3267651ecfeae0fb9493","2023",77
"152","272afbb58d7d307e062b997f042c6ab23077d1a0","2021",14
"153","2738afd92aab9a593a247e910986394c906d4fe0","2021",23
"154","27653562f25fddfedbb6862c6f7f775e3aee8729","2021",25
"155","27b2eba8ae0d45397910727bd67244fd77221377","2021",1
"156","27c6fba076399f5a9ed7d239040f8a5278e0b538","2021",2
"157","27c8e4ac9a23ab952471008a05419b6998edeb3e","2021",82
"158","27c8e4ac9a23ab952471008a05419b6998edeb3e","2022",33
"159","27c8e4ac9a23ab952471008a05419b6998edeb3e","2023",47
"160","289266c55934030cf386fdf06b232e864c6eeb2d","2021",1
"161","29a888709565675646dc9e12dd4475920881f41c","2021",6
"162","29be0196e90ec2730c66e14d9db7f44d9dc832a7","2021",3
"163","2acf5e9ceb8ce9a5cadb881644fbbad57a194b3f","2021",28
"164","2af8cae185649642c98a64031cd30d75d8ea8031","2021",5
"165","2c06050c5104e14ea16b448cdb68c98c6fdb6022","2021",2
"166","2cf7394ffcf79450ee4e4a683bd34563bcd3c3e6","2021",2
"167","2d7a24e3c952e59b1e215ea9963fa645df14ba41","2021",72
"168","2d7a24e3c952e59b1e215ea9963fa645df14ba41","2022",75
"169","2d7a24e3c952e59b1e215ea9963fa645df14ba41","2023",69
"170","2e466f26bec347f364a85f73269afde6258b02ba","2021",71
"171","2e466f26bec347f364a85f73269afde6258b02ba","2022",72
"172","2e466f26bec347f364a85f73269afde6258b02ba","2023",56
"173","2e5e1e91b44362429d7a86cfc8427a67aeeb39ea","2021",85
"174","2e68dc279251e6c847a8c8d7e1a3076cbd1cc93a","2021",5
"175","2f92e102307d680e24f2a5fb63dff8b7ecde998b","2021",78
"176","2f92e102307d680e24f2a5fb63dff8b7ecde998b","2022",54
"177","2fe024683064013fcfea642e36419686f8840c5c","2021",1
"178","2ff6803041b873af408f7d1a8eb3e4b361d15e13","2021",20
"179","32603421aea266b74d441ebfe6f97a7cf4c4670a","2021",4
"180","33438ca2fdf93ff73b2e1bcc5da3058a04cf1661","2021",3
"181","3357488d4771f0c815e0d61df19e152f9e389a03","2021",24
"182","33b6034adb1b887ec34812aff00773075121de26","2021",84
"183","33b6034adb1b887ec34812aff00773075121de26","2022",72
"184","33b6034adb1b887ec34812aff00773075121de26","2023",42
"185","34190fba310a52459744c4574d93853243ee9eca","2021",7
"186","34294c5b512043e6f7ad920382ed06035f0982b8","2021",2
"187","34415ee2ef93a38bffd2295405d657ece1b20853","2021",30
"188","34505025fb4406cbedcee444836fa9324d7ee574","2021",26
"189","34db29c6c5dba776c3229d6fd6421da5634440a6","2021",1
"190","34eb3b4b6ae25355fbcf8cc216ae7bd42cdf268b","2021",84
"191","34eb3b4b6ae25355fbcf8cc216ae7bd42cdf268b","2022",73
"192","35356970180d7c585b23f342d80e3231418a86ce","2021",87
"193","35356970180d7c585b23f342d80e3231418a86ce","2022",82
"194","35356970180d7c585b23f342d80e3231418a86ce","2023",80
"195","35770324d53532364530105a6c2bba19a04258c2","2021",23
"196","35a9a6f4775002cac4941a15b11af3640b2a3291","2021",17
"197","35ac892926cc593e5859e2dc743c776562ca312f","2021",2
"198","35dba25a879c2664e6573a99adc5c180b11e574c","2021",4
"199","35ee61646c04b642d8fb2cb054de9abe544e9341","2021",3
"200","36672e213820a74ed38341444004479e5a0d5443","2021",72
"201","36672e213820a74ed38341444004479e5a0d5443","2022",51
"202","369cbabc57e48432e228701fce080636f3e25cf4","2021",14
"203","38891f76ea6a9c14cd3bf34a61849fc0c59fa9e0","2021",29
"204","3962c93e969c6790ae7cfbd5854210610d71d2b1","2021",5
"205","39e4ec390ba39c0df8140bece8ee601f966b1453","2021",34
"206","3a0069aa7adaee13eac04b432235b9a1364cbf42","2021",1
"207","3ae724ecfe223e7e9201014053f8fe62a3e9fc1c","2021",23
"208","3b823f36afdf217a11e5d67235ec17908fdffdf3","2021",1
"209","3b8a3d1f027410d3ff7ec543ed891d29e66af4ab","2021",50
"210","3b8a3d1f027410d3ff7ec543ed891d29e66af4ab","2022",71
"211","3b8a3d1f027410d3ff7ec543ed891d29e66af4ab","2023",74
"212","3bc4b2a7b8a46b66bd1856c7419ed0f7016499c5","2021",1
"213","3c7660be5e64c9406cfbc783d943d39ebfd06b1b","2021",12
"214","3c8235024a0e3e3f1dcfef16080eaaf2cffc887b","2021",17
"215","3d23508828119cb2cf632c8294e2a42318c11bf0","2021",1
"216","3f0b3f339a269c65d99cd85546ebc14791ad3d3e","2021",2
"217","3ffca17a704b2bdd7b912cacb3c528f5a627fbad","2021",4
"218","41926588df39fdf6f7b176316ee2afc9db363844","2021",2
"219","41afbb8823e64401a71aaf7b194f53a9a9b0dee8","2021",22
"220","42a91743f84132f1bc7884c2a507c1eb66239a1e","2021",22
"221","436e222f0e3205837a6a232f9810fae9d2bc1d0a","2021",68
"222","436e222f0e3205837a6a232f9810fae9d2bc1d0a","2022",77
"223","436e222f0e3205837a6a232f9810fae9d2bc1d0a","2023",70
"224","44c1dffcd76a15940792eabc7c209007b1fec2a5","2021",71
"225","44c1dffcd76a15940792eabc7c209007b1fec2a5","2022",57
"226","44c1dffcd76a15940792eabc7c209007b1fec2a5","2023",38
"227","45ccfa7681d6a66455bb6c21c105aed0d32423d5","2021",2
"228","473cc5ed31814e6679b13ccdcb951d9c70263796","2021",68
"229","473cc5ed31814e6679b13ccdcb951d9c70263796","2022",65
"230","473cc5ed31814e6679b13ccdcb951d9c70263796","2023",49
"231","479eaae354ab83ded17b747a85effd4a14b7886f","2021",41
"232","479eaae354ab83ded17b747a85effd4a14b7886f","2022",39
"233","479eaae354ab83ded17b747a85effd4a14b7886f","2023",25
"234","4803634608bc30a04f9af8996949a77d882c4b9f","2021",80
"235","4803634608bc30a04f9af8996949a77d882c4b9f","2022",75
"236","4803634608bc30a04f9af8996949a77d882c4b9f","2023",62
"237","48d72c4d9f603b080bd0cc77ee6a1eadbf3a6b93","2021",26
"238","49c4176049e183373877ff84dd945190cc4fabae","2021",80
"239","49c4176049e183373877ff84dd945190cc4fabae","2022",81
"240","49c4176049e183373877ff84dd945190cc4fabae","2023",43
"241","4a8da77e3ea10b8b42f0859ac49610a3cfd6bb01","2021",4
"242","4b82ba84000fd3581d67a3e37c411a97f53afc32","2021",84
"243","4b82ba84000fd3581d67a3e37c411a97f53afc32","2022",80
"244","4b82ba84000fd3581d67a3e37c411a97f53afc32","2023",53
"245","4be0e45ba7969bcad788c1410dec531270067842","2021",2
"246","4c8f2e594168a4b4e9bd2252174bde84372b5d37","2021",17
"247","4c98e2330e02e8b5e9ea655bfe4ef755c341ea6a","2021",4
"248","4c9a5e1a93a1fd6e10f21b62dfc397c4e182f56f","2021",17
"249","4d1298183510acbfd0087ccacf726abe77fc6e4b","2021",2
"250","4db40d43d3837e7374794f2b575170a649ccd79d","2021",64
"251","4db40d43d3837e7374794f2b575170a649ccd79d","2022",58
"252","4db40d43d3837e7374794f2b575170a649ccd79d","2023",47
"253","4eb6ebf0e979c94c2df949dc569cdfbd52072d64","2021",1
"254","4f95abf1ad643b571799d32932a041fe812ae667","2021",13
"255","504abe1db26bb46fb46ea7cff9ed18221feb6798","2021",5
"256","50552a2c0fd8e4a7da73ffbe4e3b4d753897f8ed","2021",2
"257","50c753a7d9d97cb204dfa0377065ef4afd9cb0d0","2021",3
"258","5135b2f2892117f7e635e3e2477886d4fff10fbf","2021",7
"259","5135f5f58de005ee87fe5d4d6cd07d12b6814d45","2021",5
"260","5162061566d3b114a726d1f46d0c13b488365ccf","2021",1
"261","518bf6df27af8bd8564af654262b56d28a34bfd4","2021",4
"262","51c20f83c4cdccfa882791ed2bc309179e515a1f","2021",1
"263","51ed749ff2ec6535d1a2f5e1cf8f0755c7947076","2021",22
"264","52016eb54425ff26f543b4a0b0c184cc9fe4a4d8","2021",1
"265","52f44b951a277b9f5c246596dd070e39313d60a2","2021",39
"266","52f44b951a277b9f5c246596dd070e39313d60a2","2022",80
"267","53030702dafbc98380b87618a6786a1c0278912c","2021",57
"268","53030702dafbc98380b87618a6786a1c0278912c","2022",82
"269","53030702dafbc98380b87618a6786a1c0278912c","2023",87
"270","534e777fdb87941c7bd9423f61368cabf9b79809","2021",1
"271","5355c083d8ca64985bd4970d9f2c471bc6a78b5a","2021",1
"272","539ba9ce9c572ce6d0a4352db7211b5286e3be05","2021",1
"273","53a6f179986e50fc6b1a20a75a94ba892239de43","2021",84
"274","53a6f179986e50fc6b1a20a75a94ba892239de43","2022",78
"275","53a6f179986e50fc6b1a20a75a94ba892239de43","2023",82
"276","53dfe414229803162d14787d30fbf47a1b5e46ea","2021",78
"277","53dfe414229803162d14787d30fbf47a1b5e46ea","2022",83
"278","53dfe414229803162d14787d30fbf47a1b5e46ea","2023",74
"279","5425d5ec46ae422add2e04102b6d7c76fa67717e","2021",4
"280","5480ec69eee0fcc62fe90dd57f8945867b4d1a8a","2021",1
"281","5483790bb7d8746f387f04c3e034d564e336fa3d","2021",1
"282","55073aa97b5d55d9dfb64d21bd81547c08c29a87","2021",1
"283","558693b14d63414c1b4c3263f131b0be7dee9682","2021",1
"284","55f5996485e6a1faa6663ac69374953aaba0e5eb","2021",3
"285","5681b7657ff7c609cb34127a516ba274b1616a81","2021",3
"286","56abc4cae41e0b8b3f8d17741ccf46d912c22d7f","2021",19
"287","56c38efc936ad92da986834cbca52c69e4cd182c","2021",5
"288","56c38efc936ad92da986834cbca52c69e4cd182c","2022",2
"289","5723b8ea1f97a07a6afb874195c38c70005e989b","2021",81
"290","5723b8ea1f97a07a6afb874195c38c70005e989b","2022",87
"291","5723b8ea1f97a07a6afb874195c38c70005e989b","2023",86
"292","576d0a1a0612c27c99ac48d045a7b142c612def8","2021",29
"293","576d0a1a0612c27c99ac48d045a7b142c612def8","2022",70
"294","576d0a1a0612c27c99ac48d045a7b142c612def8","2023",64
"295","57ed72fa5129e91aaf45fc261c297eb2ee3c6168","2021",11
"296","588de3f94a300203525ecdc49bb28e389354e0c8","2021",1
"297","589875034823cff8a9e789a932fe22f6d31b2cfd","2021",2
"298","59b91ee13d1e1007b7f9666ef02fcd984ac441a1","2021",5
"299","59c046bfc554e6d65c332c71f58456a8ca1a2b48","2021",1
"300","5ac04b94d1ab468896ca39b60812ca69ab19cc94","2022",59
"301","5ac04b94d1ab468896ca39b60812ca69ab19cc94","2023",40
"302","5b3c1b2b32ed07df86397c80422c56c65d064ec9","2021",16
"303","5b740a56489fb4d760c0586db33f0db04c04631b","2021",4
"304","5b8d28b879a5161fbdabba7f378051cba5d83750","2021",3
"305","5bf0b3dc96dfddcdc76c0ac6ed4f29ab7407c3dc","2021",1
"306","5c01b2966a87154f53b9718c8aa32e8c8ec8c436","2021",1
"307","5c4ef2474ba71fc0a82adc9af54f3e965420258a","2021",18
"308","5c510f4d67fc4cb4eceed1dff895cdcda5e74d4e","2021",77
"309","5c510f4d67fc4cb4eceed1dff895cdcda5e74d4e","2022",80
"310","5c510f4d67fc4cb4eceed1dff895cdcda5e74d4e","2023",67
"311","5c52d4f9e23ee8dcfa0954d52da4e198f16085b3","2021",5
"312","5cc6c32171332ff0d9e394ee52679548afd7c65a","2022",14
"313","5cc6c32171332ff0d9e394ee52679548afd7c65a","2023",68
"314","5cfc5b2e57541cef91d8a828f09574e9824a2f30","2021",15
"315","5d1b39281ac7885c9f005b80d3844c50294b6995","2021",41
"316","5d1b39281ac7885c9f005b80d3844c50294b6995","2022",26
"317","5d1b39281ac7885c9f005b80d3844c50294b6995","2023",42
"318","5d22762080116fc78103a57f820a26fb287cdb07","2021",14
"319","5e2471543554c6e6c724baab37d616f6d11d57e9","2021",69
"320","5e2471543554c6e6c724baab37d616f6d11d57e9","2022",72
"321","5e2471543554c6e6c724baab37d616f6d11d57e9","2023",82
"322","5f329bc97175a1809cff23399745e3a526a8f049","2021",5
"323","5f55cd7118d3da57163ced0872286209bd40fcd2","2021",4
"324","5f6d629aa4a729e4869fa88140a9abf4b616b444","2021",2
"325","5ff4ced80a4fae6654ff7b423fd5ba48fa094023","2021",1
"326","60d2bfeff46813f4c3274c522d417b776aef453d","2022",52
"327","60d2bfeff46813f4c3274c522d417b776aef453d","2023",61
"328","61f0abb6b23aa376a435e7c24ea262b8ef4fbe53","2021",4
"329","63010ddee8efefb0c8495979427b6b7b4f66b148","2021",4
"330","63227b0144020db4a3270d811696c76c51f4ad91","2021",1
"331","651e83e10223cd815b67ad888008955753378194","2021",18
"332","652bf4233a1c7c95f4440ab39de9833a84753521","2021",2
"333","6559861be08df170bd9870e04da13bf3e3b324de","2021",1
"334","657520d3c69db7b9512b14243f16d3b25fed1a21","2021",1
"335","659fdb3f91f577b99298e2643a3aa1b1e250ddb1","2021",10
"336","65a1c03b9820fabdf8eb47890a8ea707e0b030a9","2022",13
"337","65a1c03b9820fabdf8eb47890a8ea707e0b030a9","2023",54
"338","668035aa0f3561353c776260ef5685baa0eb97cb","2021",3
"339","6687f3c21a171b932039f51cb14f1a7306a4b6a3","2023",56
"340","6694f746d8beb752b45b675ecad73e051cb1dd66","2021",23
"341","66adb85a5fec8deec938ceeb9c2b8421614e2ba0","2022",5
"342","66adb85a5fec8deec938ceeb9c2b8421614e2ba0","2023",21
"343","67ae877204f29309bbf2be68de4233b39b132693","2021",5
"344","67f1f58459a3eac623952b8dda017a102fa7bb83","2021",2
"345","68724fd1e0154ad957dcb97fdab47ec50785d058","2021",2
"346","693c0f07a7c78eea3ba7546c87b7013c1debca1d","2021",4
"347","694f369a861c79cdbb3579b8fc7cb24275660707","2021",77
"348","694f369a861c79cdbb3579b8fc7cb24275660707","2022",82
"349","6a921acc12ba454b6f74f3e0229032e371a2801d","2021",19
"350","6b2bc8a2ddf021c6284a7efdc40666827bf64725","2021",2
"351","6b7a15b5e5ebfd02abd3d24d7693239071cbf9c1","2021",5
"352","6bdc0c759ec1e9fb75b5409c2644bd76f48d4a12","2021",2
"353","6c81d9bda7c62f45e6c476141d12d4d4a300c224","2021",4
"354","6ce6f832e5197576e4c34b6f627434b5cbc97c61","2021",19
"355","6d379c9daa561b18425290480873fd9b17a90610","2021",26
"356","6d3fc477390693adb11d4356e264530cb9abf094","2021",2
"357","6dd582f3298133f1940215ba26611bd80b2bec09","2021",1
"358","6eb7a8650645b4b541c27ac08b5eed4ed1c59b4b","2021",8
"359","6efd5afb47ce031047a04a267397cf19941cbbc9","2021",1
"360","6f6072a62e0fe217b68dcc5224ebb53e1720b3d0","2021",1
"361","6fa24a3156857c8643a76888f500975256da9aa6","2021",11
"362","6fcb501f6a4821c0b0b2a45b6109e1f1fc787638","2021",2
"363","6fce7e6aaecd43623d1e0e8b508478799a20b105","2021",11
"364","6fce7e6aaecd43623d1e0e8b508478799a20b105","2022",81
"365","705a86ae9eebf0316b273ee63d164031a7b38ea2","2021",4
"366","716d6f2aaed3e620c6c5b714bfb99d57fe545ffd","2021",3
"367","72652f1b57a59f4a8e278cf070cca49ccdfce670","2021",84
"368","72652f1b57a59f4a8e278cf070cca49ccdfce670","2022",80
"369","72652f1b57a59f4a8e278cf070cca49ccdfce670","2023",62
"370","7268472644e0b09901bef6495e2a4d455b4c1890","2021",29
"371","726e3476c9a02b551c4633f987e580e4d68eba5b","2023",1
"372","72a56d0baf70ccc97359536f1d62d7b513d688c5","2021",1
"373","72df61d622032f8ac8599616b662662f65ee22e5","2021",6
"374","74877ed1ee85fc60a019745c54752f90c7634ef4","2021",6
"375","74f22fceb707d091d74fd07c2e347a50dbe7749a","2021",14
"376","7508430dc85b53c739a8e2906062c20e7c6723f4","2021",28
"377","75974da3aded6c20132e5deec637421440e53359","2021",15
